trials.thisTrialN,trials.stepSize,trials.intensity,thisRow.t,notes,trial.started,Fixation.started,Fixation.stopped,grating.started,key_resp.started,grating.stopped,trial.stopped,corrans,tilt,key_resp.corr,trials.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
10,1,1.0,16.952236599754542,,16.940113400109112,16.952236599754542,17.452982699964195,17.452982699964195,17.452982699964195,17.752791999839246,18.6581385997124,right,1.0,0,0,1.2008515000343323,252029,001,2024-09-12_17h28.09.527,adaptive staircase-Vidhi-6-9-24,2024.1.5,None,2024-09-12 17h28.16.936133 +0530,
11,1,1.0,18.66936199972406,,18.658219899982214,18.66936199972406,19.170476799830794,19.170476799830794,19.170476799830794,19.47094999998808,19.7964308001101,left,-1.0,1,1,0.619223200250417,252029,001,2024-09-12_17h28.09.527,adaptive staircase-Vidhi-6-9-24,2024.1.5,None,2024-09-12 17h28.16.936133 +0530,
12,1,1.0,19.819548199884593,,19.796572300139815,19.819548199884593,20.321716399863362,20.304926299955696,20.304926299955696,20.604980200063437,21.01336710015312,left,-1.0,1,1,0.6943418001756072,252029,001,2024-09-12_17h28.09.527,adaptive staircase-Vidhi-6-9-24,2024.1.5,None,2024-09-12 17h28.16.936133 +0530,
13,1,1.0,21.03682139981538,,21.013506600167602,21.03682139981538,21.538834699895233,21.521823899820447,21.521823899820447,21.82204939983785,22.296992599964142,right,1.0,1,1,0.7668817001394928,252029,001,2024-09-12_17h28.09.527,adaptive staircase-Vidhi-6-9-24,2024.1.5,None,2024-09-12 17h28.16.936133 +0530,
14,0.5,0.0,22.305237900000066,,22.297129899729043,22.305237900000066,22.80541309993714,22.80541309993714,22.80541309993714,23.105901199858636,23.948066900018603,right,0.0,0,0,1.12516999989748,252029,001,2024-09-12_17h28.09.527,adaptive staircase-Vidhi-6-9-24,2024.1.5,None,2024-09-12 17h28.16.936133 +0530,
15,0.5,0.5,23.97096800012514,,23.94821309996769,23.97096800012514,24.47357519995421,24.45650149974972,24.45650149974972,24.75672519998625,24.94775569997728,right,0.5,0,0,0.48372359992936254,252029,001,2024-09-12_17h28.09.527,adaptive staircase-Vidhi-6-9-24,2024.1.5,None,2024-09-12 17h28.16.936133 +0530,
16,0.5,1.0,24.95640330016613,,24.947900000028312,24.95640330016613,25.47228269977495,25.45560730015859,25.45560730015859,25.755244600120932,26.494003399740905,right,1.0,1,1,1.022232299670577,252029,001,2024-09-12_17h28.09.527,adaptive staircase-Vidhi-6-9-24,2024.1.5,None,2024-09-12 17h28.16.936133 +0530,
17,0.5,1.0,26.50609919987619,,26.494079299736768,26.50609919987619,27.00626209983602,27.00626209983602,27.00626209983602,27.3063802998513,27.76734510017559,left,-1.0,1,1,0.7490461999550462,252029,001,2024-09-12_17h28.09.527,adaptive staircase-Vidhi-6-9-24,2024.1.5,None,2024-09-12 17h28.16.936133 +0530,
18,0.5,1.0,27.789489899761975,,27.76749229989946,27.789489899761975,28.29095740010962,28.274819400161505,28.274819400161505,28.59017590014264,28.93204140011221,left,-1.0,1,1,0.6484011001884937,252029,001,2024-09-12_17h28.09.527,adaptive staircase-Vidhi-6-9-24,2024.1.5,None,2024-09-12 17h28.16.936133 +0530,
19,0.5,0.5,28.940070999786258,,28.932162899989635,28.940070999786258,29.440713900141418,29.440713900141418,29.440713900141418,29.740677500143647,30.212045699823648,right,0.5,1,1,0.7656687996350229,252029,001,2024-09-12_17h28.09.527,adaptive staircase-Vidhi-6-9-24,2024.1.5,None,2024-09-12 17h28.16.936133 +0530,
20,0.5,0.5,30.224208400119096,,30.212155499961227,30.224208400119096,30.724508499726653,30.724508499726653,30.724508499726653,31.024370200000703,31.511003899853677,left,-0.5,1,1,0.7777888001874089,252029,001,2024-09-12_17h28.09.527,adaptive staircase-Vidhi-6-9-24,2024.1.5,None,2024-09-12 17h28.16.936133 +0530,
21,0.5,0.5,31.524999199900776,,31.511069600004703,31.524999199900776,32.02468110015616,32.02468110015616,32.02468110015616,32.326335799880326,33.002056799829006,right,0.5,0,0,0.966686200350523,252029,001,2024-09-12_17h28.09.527,adaptive staircase-Vidhi-6-9-24,2024.1.5,None,2024-09-12 17h28.16.936133 +0530,
22,0.5,1.0,33.025083099957556,,33.00220709992573,33.025083099957556,33.526661599986255,33.509863200131804,33.509863200131804,33.81009679986164,33.98569000000134,left,-1.0,1,1,0.4731715996749699,252029,001,2024-09-12_17h28.09.527,adaptive staircase-Vidhi-6-9-24,2024.1.5,None,2024-09-12 17h28.16.936133 +0530,
23,0.5,1.0,34.008659599814564,,33.98583360016346,34.008659599814564,34.51043270016089,34.49355580005795,34.49355580005795,34.79397619981319,35.28478210000321,left,-1.0,1,1,0.7774706999771297,252029,001,2024-09-12_17h28.09.527,adaptive staircase-Vidhi-6-9-24,2024.1.5,None,2024-09-12 17h28.16.936133 +0530,
24,0.5,1.0,35.29417489981279,,35.28497020015493,35.29417489981279,35.79465169971809,35.79465169971809,35.79465169971809,36.09412569971755,36.319914099760354,right,1.0,1,1,0.5139791998080909,252029,001,2024-09-12_17h28.09.527,adaptive staircase-Vidhi-6-9-24,2024.1.5,None,2024-09-12 17h28.16.936133 +0530,
25,0.5,0.5,36.34300949983299,,36.32006140006706,36.34300949983299,36.84436130011454,36.82719859993085,36.82719859993085,37.12814369983971,37.47070760000497,right,0.5,0,0,0.6369194998405874,252029,001,2024-09-12_17h28.09.527,adaptive staircase-Vidhi-6-9-24,2024.1.5,None,2024-09-12 17h28.16.936133 +0530,
26,0.5,1.0,37.49313949979842,,37.470854999963194,37.49313949979842,37.994913999922574,37.97790930001065,37.97790930001065,38.27934359991923,38.604195800144225,right,1.0,0,0,0.6194855002686381,252029,001,2024-09-12_17h28.09.527,adaptive staircase-Vidhi-6-9-24,2024.1.5,None,2024-09-12 17h28.16.936133 +0530,
27,0.5,1.0,38.627142999786884,,38.60434419987723,38.627142999786884,39.12877909978852,39.11209539975971,39.11209539975971,39.41234599985182,39.60280099976808,left,-1.0,1,1,0.4757361998781562,252029,001,2024-09-12_17h28.09.527,adaptive staircase-Vidhi-6-9-24,2024.1.5,None,2024-09-12 17h28.16.936133 +0530,
28,0.5,1.0,39.612025999929756,,39.60292570013553,39.612025999929756,40.11196909984574,40.11196909984574,40.11196909984574,40.41272890008986,40.80483449995518,right,1.0,1,1,0.6830563000403345,252029,001,2024-09-12_17h28.09.527,adaptive staircase-Vidhi-6-9-24,2024.1.5,None,2024-09-12 17h28.16.936133 +0530,
29,0.5,1.0,40.82798400009051,,40.80497659975663,40.82798400009051,41.329802100081,41.31304229982197,41.31304229982197,41.61337699973956,41.654899099841714,left,-1.0,1,1,0.33556440006941557,252029,001,2024-09-12_17h28.09.527,adaptive staircase-Vidhi-6-9-24,2024.1.5,None,2024-09-12 17h28.16.936133 +0530,
30,0.5,0.5,41.6781208999455,,41.6550333998166,41.6781208999455,42.179860500153154,42.16352650010958,42.16352650010958,42.46353829978034,43.454295499715954,left,-0.5,1,1,1.2752747000195086,252029,001,2024-09-12_17h28.09.527,adaptive staircase-Vidhi-6-9-24,2024.1.5,None,2024-09-12 17h28.16.936133 +0530,
31,0.5,0.5,43.46347559988499,,43.45441919984296,43.46347559988499,43.964371299836785,43.964371299836785,43.964371299836785,44.26462709996849,44.672462000045925,left,-0.5,1,1,0.6969741000793874,252029,001,2024-09-12_17h28.09.527,adaptive staircase-Vidhi-6-9-24,2024.1.5,None,2024-09-12 17h28.16.936133 +0530,
32,0.5,0.5,44.69552729977295,,44.67262879991904,44.69552729977295,45.19653599988669,45.17995940009132,45.17995940009132,45.481047600042075,45.700411499943584,left,-0.5,1,1,0.5124906999990344,252029,001,2024-09-12_17h28.09.527,adaptive staircase-Vidhi-6-9-24,2024.1.5,None,2024-09-12 17h28.16.936133 +0530,
33,0.5,0.0,45.71356229996309,,45.700493399985135,45.71356229996309,46.21370980003849,46.21370980003849,46.21370980003849,46.5150896999985,46.8907488998957,right,0.0,1,1,0.673388299997896,252029,001,2024-09-12_17h28.09.527,adaptive staircase-Vidhi-6-9-24,2024.1.5,None,2024-09-12 17h28.16.936133 +0530,
34,0.5,0.0,46.913886699825525,,46.89089050004259,46.913886699825525,47.41578619973734,47.39898889977485,47.39898889977485,47.69858099985868,47.7902991999872,right,0.0,0,0,0.3820603000931442,252029,001,2024-09-12_17h28.09.527,adaptive staircase-Vidhi-6-9-24,2024.1.5,None,2024-09-12 17h28.16.936133 +0530,
35,0.5,0.5,47.81371589982882,,47.7904230998829,47.81371589982882,48.31579010002315,48.29949099989608,48.29949099989608,48.59926509996876,48.94111469993368,right,0.5,0,0,0.628753200173378,252029,001,2024-09-12_17h28.09.527,adaptive staircase-Vidhi-6-9-24,2024.1.5,None,2024-09-12 17h28.16.936133 +0530,
36,0.5,1.0,48.96457429975271,,48.94126630015671,48.96457429975271,49.46680929977447,49.449316299986094,49.449316299986094,49.75006640003994,49.85838849982247,left,-1.0,1,1,0.3993768999353051,252029,001,2024-09-12_17h28.09.527,adaptive staircase-Vidhi-6-9-24,2024.1.5,None,2024-09-12 17h28.16.936133 +0530,
37,0.5,1.0,49.88154450012371,,49.85855739982799,49.88154450012371,50.38360029971227,50.36636020010337,50.36636020010337,50.66674100002274,50.69128610007465,left,-1.0,1,1,0.3170226002112031,252029,001,2024-09-12_17h28.09.527,adaptive staircase-Vidhi-6-9-24,2024.1.5,None,2024-09-12 17h28.16.936133 +0530,
38,0.5,1.0,50.69902329985052,,50.69141869992018,50.69902329985052,51.200407300144434,51.200407300144434,51.200407300144434,51.50027129985392,51.65839509991929,right,1.0,0,0,0.44699829956516623,252029,001,2024-09-12_17h28.09.527,adaptive staircase-Vidhi-6-9-24,2024.1.5,None,2024-09-12 17h28.16.936133 +0530,
39,0.5,1.0,51.66695890016854,,51.658542700111866,51.66695890016854,52.167361999861896,52.167361999861896,52.167361999861896,52.467792300041765,52.72644109977409,right,1.0,0,0,0.5519376001320779,252029,001,2024-09-12_17h28.09.527,adaptive staircase-Vidhi-6-9-24,2024.1.5,None,2024-09-12 17h28.16.936133 +0530,
40,0.5,1.0,52.749419500119984,,52.72658929973841,52.749419500119984,53.25129400007427,53.23461000015959,53.23461000015959,53.534741200041026,53.65860569989309,left,-1.0,1,1,0.4093212001025677,252029,001,2024-09-12_17h28.09.527,adaptive staircase-Vidhi-6-9-24,2024.1.5,None,2024-09-12 17h28.16.936133 +0530,
41,0.5,1.0,53.66782579990104,,53.65874559991062,53.66782579990104,54.16832839976996,54.16832839976996,54.16832839976996,54.467759599909186,55.12526320014149,right,1.0,0,0,0.9434034000150859,252029,001,2024-09-12_17h28.09.527,adaptive staircase-Vidhi-6-9-24,2024.1.5,None,2024-09-12 17h28.16.936133 +0530,
