16.3735 	EXP 	Created Fixation = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=-1.0, draggable=False, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.0, name='Fixation', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([0.1, 0.1]), units='height', vertices=ndarray(...), win=Window(...), windingRule=None)
16.3737 	EXP 	window1: mouseVisible = True
16.3776 	EXP 	Created grating = GratingStim(__class__=<class 'psychopy.visual.grating.GratingStim'>, anchor='center', autoDraw=False, autoLog=True, blendmode='avg', color=array([0.5, 0.5, 0.5]), colorSpace='rgb', contrast=0.5, depth=-2.0, draggable=False, interpolate=True, mask='gauss', maskParams=None, name='grating', opacity=1.0, ori=1.0, phase=array([0., 0.]), pos=array([0., 0.]), rgbPedestal=array([0., 0., 0.]), sf=array([8., 8.]), size=array([0.3, 0.3]), tex='sin', texRes=128.0, units='height', win=Window(...))
0.0155 	WARNING 	Increasing number of minimum required reversals to the number of step sizes, (4).
0.0292 	EXP 	grating: ori = 10.0
0.0292 	EXP 	Fixation: autoDraw = True
0.5855 	INFO 	Keyboard events cleared
0.5849 	EXP 	Fixation: autoDraw = False
0.5849 	EXP 	grating: autoDraw = True
0.5849 	EXP 	grating: tex = 'sin'
0.8976 	EXP 	grating: autoDraw = False
5.2641 	DATA 	Keypress: right
5.2806 	EXP 	Fixation: autoDraw = False
5.2806 	EXP 	grating: autoDraw = False
5.2806 	EXP 	grating: ori = -8.0
5.2806 	EXP 	Fixation: autoDraw = True
5.7666 	INFO 	Keyboard events cleared
5.7658 	EXP 	grating: autoDraw = True
5.7825 	EXP 	Fixation: autoDraw = False
6.0660 	EXP 	grating: autoDraw = False
6.4780 	DATA 	Keypress: left
6.4978 	EXP 	Fixation: autoDraw = False
6.4978 	EXP 	grating: autoDraw = False
6.4978 	EXP 	grating: ori = 6.0
6.4978 	EXP 	Fixation: autoDraw = True
7.0009 	INFO 	Keyboard events cleared
7.0001 	EXP 	Fixation: autoDraw = False
7.0001 	EXP 	grating: autoDraw = True
7.2999 	EXP 	grating: autoDraw = False
7.3962 	DATA 	Keypress: right
7.4149 	EXP 	Fixation: autoDraw = False
7.4149 	EXP 	grating: autoDraw = False
7.4149 	EXP 	grating: ori = -4.0
7.4149 	EXP 	Fixation: autoDraw = True
